Geno	Normfactor	Remove
CML328	1.10258133597166	no
CML331	1.80820759375043	no
CML332	0.584898743023736	no
CML333	0.794178877668083	no
CML341	0.561269184934719	no
CML38	0.685866286154667	no
CML45	0.902778105215937	no
CML52	0.760122933826369	no
CML5	1.45179359967841	no
CML61	0.802097198119444	no
CML69	0.837890872919941	no
CML77	1.25177539189686	no
CML91	1.11651901314623	no
CML92	0.710857365407266	no
CMV3	0.583985090663963	no
CO106	1.05890517022411	no
CO125	0.965228931219206	no
CO255	1.93443493741625	no
D940Y	1.24296133383788	no
DE1	1.11906290795187	no
DE-2	0.715174820675995	no
DE811	0.716249705805139	no
DE	2.81713060546934	no
E2558W	0.361537613187602	no
EP1	0.516410645545107	no
F2834T	0.644680270956297	no
F6	1.13618941100957	no
F7	0.891635129377143	no
GA209	0.892065083428801	no
GT112	0.580832094285141	no
H105W	0.76662598885769	no
H49	0.959997823590705	no
H84	0.817056016166699	no
H91	1.17083654167231	no
H95	1.3084039234506	no
H99	5.34952414022842	no
Hi27Goodman-Buckler	0.737460772353582	no
HP301	0.994376232971162	no
I137TN	0.734379434983369	no
i1677a	0.782462629760412	no
I205	0.529148034325464	no
I29	0.973756353243749	no
IA2132Goodman-Buckler	0.585884054392118	no
Ia5125	0.944304500705202	no
IDS28	0.548083927350552	no
IDS69	1.10802742062599	no
IDS91	1.13317973264796	no
Il101	0.622483893039473	no
Il14H	0.795397080814446	no
ILLHy	1.09808473318141	no
K148	0.561107952165347	no
K4	0.948102428161511	no
K55	0.584844998767279	no
K64	0.539896885616905	no
Ki11	0.707596880515529	no
Ki14	0.671767376210728	no
Ki2021	0.567127308888554	no
Ki21	2.53758881288328	no
Ki43	1.05464145921184	no
Ki44	0.649606827798208	no
Ky21	0.722860249349375	no
KY226	0.539090721770047	no
KY228	1.21827480537187	no
L317	0.567001905623487	no
L578	2.05826170429364	no
M14	0.94369539913202	no
M162W	0.809854285801433	no
M37W	0.610283946823688	no
MEF156-55-2	1.22218022134109	no
Mo17	0.840739318512173	no
Mo18W	0.59537887303289	no
MO1W	0.937908934186795	no
Mo24W	0.50904768241047	no
Mo44	0.309835638475773	yes
Mo45	0.485812248868807	no
Mo46	0.745898620617362	no
Mo47	0.871122738162644	no
MoG	0.765640677489308	no
Mp339	0.855017375977636	no
MS1334	1.22671265363565	no
MS153	0.716016814027158	no
Mt42	1.24907026432185	no
N192	1.01607099782772	no
N28Ht	0.527589450888205	no
N6	2.26793596348534	no
NC222	1.04451962424573	no
NC230	0.944071608927221	no
NC232	0.66365199348569	no
NC236	0.810337984109548	no
NC238	0.551075690960003	no
NC250	0.825475949678327	no
NC258	1.19403614570967	no
NC260	1.11229113163826	no
NC262	1.41456674470572	no
NC264	0.898353161434294	no
NC290A	0.491365822036051	no
NC294	0.795755375857494	no
NC296A	0.46538943141507	no
NC296	1.32304027595911	no
NC298	0.000304550786590815	yes
NC300	0.659495770986333	no
NC302	0.973469717209311	no
NC304	0.592082558636849	no
NC306	1.04735015508581	no
NC310	1.08955731115687	no
NC314	0.894823955260271	no
NC318	0.642584244954467	no
NC320	0.63246240998836	no
NC324	0.909066183221429	no
NC326	1.08076116785004	no
NC328	1.20333390207677	no
NC336	1.20707808527662	no
NC338	1.09401808444282	no
NC33	3.26634301569079	no
NC340	1.01264928016661	no
NC342	0.580258822216264	no
NC344	0.43285624150631	no
NC346	1.11775513104475	no
NC348	0.915963362800104	no
NC350	0.73588427416417	no
NC352	0.821086835400989	no
NC354	0.831531135905838	no
NC356	0.915640897261361	no
NC358	0.662792085382375	no
NC360	0.731871369682032	no
NC362	0.949123569034198	no
NC364	0.862649060394559	no
NC366	0.792494890965757	no
NC368	0.866446987850868	no
ND246	0.718184499037598	no
Oh40B	2.31455014858589	no
Oh43E	0.996830554016041	no
Oh603	0.639467078079949	no
OH7B	1.05403235763866	no
Os420	1.72947225804063	no
