Taxa	CC	KC	Oil	ULA	FT
VA102	2	1	3.79100315	71.21508646	73.105
Va17	2	1	4.27373829	62.80915383	79.121
Va22	1	1	4.982264726	65.82432983	79.373
Va26	NA	1	3.814360684	70.23201724	74.48
Va35	2	1	4.56511728	69.65624641	76.804
Va59	2	1	5.022836222	68.02393	74.562
Va85	1	1	4.599376773	54.25979001	78.243
Va99	2	1	4.702126293	64.83938691	77.999
VaW6	1	1	4.476035611	35.99483768	78.458
W117Ht	2	1	4.167125221	43.35915224	68.165
W153R	2	1	3.634680147	58.10048311	73.394
W182B	2	1	4.412001695	51.16739981	64.958
W22	2	1	3.831425755	43.5796248	76.425
W64A	NA	1	3.922281463	45.83596437	75.854
Wf9	NA	1	3.473237878	38.53217159	74.422
Yu796	2	1	3.988629098	48.88720878	75.7
